2026-01-07 20:43:01 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 20:43:02 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
2026-01-07 20:45:18 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 20:45:18 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
2026-01-07 20:46:12 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 20:46:12 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
2026-01-07 20:46:12 | INFO | tracker:__init__:41 | Vehicle tracker initialized
2026-01-07 20:46:12 | INFO | counter:__init__:37 | Vehicle counter initialized with line: [(100, 300), (500, 300)]
2026-01-07 20:47:06 | INFO | counter:reset_counts:225 | Counts reset
2026-01-07 20:47:07 | INFO | counter:reset_counts:225 | Counts reset
2026-01-07 20:48:34 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 20:48:34 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
2026-01-07 20:48:34 | INFO | tracker:__init__:41 | Vehicle tracker initialized
2026-01-07 20:48:34 | INFO | counter:__init__:37 | Vehicle counter initialized with line: [(100, 300), (500, 300)]
2026-01-07 20:51:15 | INFO | utils:save_results_to_json:45 | Results saved to output/tmpj1u_7svm_results.json
2026-01-07 20:51:15 | INFO | utils:save_results_to_json:45 | Results saved to output/tmpj1u_7svm_results.json
2026-01-07 20:51:15 | INFO | utils:save_results_to_csv:61 | Results saved to output/tmpj1u_7svm_results.csv
2026-01-07 20:51:15 | INFO | utils:save_results_to_csv:61 | Results saved to output/tmpj1u_7svm_results.csv
2026-01-07 20:58:37 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 20:58:37 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
2026-01-07 20:58:37 | INFO | tracker:__init__:41 | Vehicle tracker initialized
2026-01-07 20:58:37 | INFO | counter:__init__:37 | Vehicle counter initialized with line: [(100, 300), (500, 300)]
2026-01-07 20:59:49 | INFO | utils:save_results_to_json:45 | Results saved to output/tmp6s_68mkk_results.json
2026-01-07 21:02:52 | INFO | detector:__init__:40 | Loading YOLOv8 model: yolov8n.pt
2026-01-07 21:02:52 | INFO | detector:__init__:42 | YOLOv8 model loaded successfully
